Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,24/09/2020 18:17,FALSE,Woking Running,5.62,329,00:30:43,129,151,2.2,157,177,05:28,04:17,23,21,1.15,9.1,10.7,281,50.3% L / 49.7% R,0,0,0,30:43:00,00:00,0,00:00,No,03:10.6,6,0
Running,23/09/2020 07:24,FALSE,Woking Running,5.66,360,00:31:01,134,153,2.6,158,178,05:29,04:43,12,12,1.15,9,10.6,279,50.4% L / 49.6% R,0,0,0,31:01:00,00:00,0,00:00,No,00:00.8,8,0
Running,22/09/2020 11:32,FALSE,Woking Running,5.68,348,00:31:20,131,154,2.4,155,170,05:31,04:36,22,21,1.14,9.4,10.9,287,50.5% L / 49.5% R,0,0,0,31:20:00,00:00,0,00:00,No,03:30.1,6,0
Running,18/09/2020 07:13,FALSE,Woking Running,5.67,348,00:30:51,132,153,2.5,158,173,05:27,04:38,17,21,1.15,9.4,11,277,50.0% L / 50.0% R,0,0,0,30:51:00,00:00,0,00:00,No,03:32.8,6,0
Running,17/09/2020 07:22,FALSE,Woking Running,5.68,347,00:31:08,133,150,2.5,156,169,05:29,04:42,9,12,1.15,9.5,11.1,280,49.8% L / 50.2% R,0,0,0,31:08:00,00:00,0,00:00,No,03:38.9,6,0
Running,16/09/2020 18:25,FALSE,Woking Running,5.3,330,00:33:03,130,155,2.3,147,230,06:14,03:22,6,6,1.05,9.3,9.1,320,49.7% L / 50.3% R,0,0,0,33:03:00,00:00,0,00:00,No,00:30.0,43,0
Running,15/09/2020 07:16,FALSE,Woking Running,5.65,367,00:30:38,137,156,2.9,157,172,05:25,03:55,19,18,1.16,9.4,11.1,278,49.5% L / 50.5% R,0,0,0,30:38:00,00:00,0,00:00,No,03:22.2,6,0
Running,13/09/2020 08:32,FALSE,Woking Running,10.01,634,00:54:30,137,157,3.1,156,184,05:27,04:36,49,51,1.16,9.6,11.3,279,50.3% L / 49.7% R,0,0,0,54:30:00,00:00,0,00:00,No,00:01.7,11,0
Running,12/09/2020 07:55,FALSE,Woking Running,5.64,371,00:30:02,139,156,3,157,177,05:20,04:46,22,21,1.17,9.2,10.9,278,50.0% L / 50.0% R,0,0,0,30:02:00,00:00,0,00:00,No,03:20.4,6,0
Running,11/09/2020 18:20,FALSE,Woking Running,7.55,453,00:46:15,130,154,2.4,151,256,06:08,03:41,21,20,1.04,9.4,9.5,304,50.2% L / 49.8% R,0,0,0,46:15:00,00:00,0,00:00,No,00:30.0,53,0
